"Rank","Player","Team","Bye","POS","Yahoo","Fantrax","FFC","Sleeper","AVG"
"1","Jonathan Taylor","IND","14","RB1","1","1","","1","1.0"
"2","Austin Ekeler","LAC","8","RB2","2","2","","4","2.7"
"3","Christian McCaffrey","CAR","13","RB3","3","3","","2","2.7"
"4","Cooper Kupp","LAR","7","WR1","4","4","","5","4.3"
"5","Derrick Henry","TEN","6","RB4","6","5","","3","4.7"
"6","Justin Jefferson","MIN","7","WR2","5","6","","8","6.3"
"7","Dalvin Cook","MIN","7","RB5","7","8","","6","7.0"
"8","Najee Harris","PIT","9","RB6","9","7","","7","7.7"
"9","Ja'Marr Chase","CIN","10","WR3","8","9","","10","9.0"
"10","Joe Mixon","CIN","10","RB7","10","10","","9","9.7"
"11","Davante Adams","LV","6","WR4","12","11","","11","11.3"
"12","Stefon Diggs","BUF","7","WR5","11","12","","14","12.3"
"13","Travis Kelce","KC","8","TE1","15","14","","12","13.7"
"14","D'Andre Swift","DET","6","RB8","17","13","","13","14.3"
"15","Nick Chubb","CLE","9","RB9","14","17","","15","15.3"
"16","Aaron Jones","GB","14","RB10","13","20","","18","17.0"
"17","Alvin Kamara","NO","14","RB11","19","18","","16","17.7"
"18","CeeDee Lamb","DAL","9","WR6","16","19","","19","18.0"
"19","Saquon Barkley","NYG","9","RB12","18","22","","17","19.0"
"20","Deebo Samuel","SF","9","WR7","22","16","","22","20.0"
"21","Javonte Williams","DEN","9","RB13","25","15","","24","21.3"
"22","Josh Allen","BUF","7","QB1","20","25","","21","22.0"
"23","Tyreek Hill","MIA","11","WR8","24","23","","20","22.3"
"24","Mark Andrews","BAL","10","TE2","26","21","","23","23.3"
"25","Leonard Fournette","TB","11","RB14","21","24","","25","23.3"
"26","Mike Evans","TB","11","WR9","23","28","","26","25.7"
"27","A.J. Brown","PHI","7","WR10","32","27","","28","29.0"
"28","Keenan Allen","LAC","8","WR11","29","29","","29","29.0"
"29","Ezekiel Elliott","DAL","9","RB15","27","35","","27","29.7"
"30","Tee Higgins","CIN","10","WR12","28","30","","33","30.3"
"31","James Conner","ARI","13","RB16","31","31","","30","30.7"
"32","Cam Akers","LAR","7","RB17","35","26","","34","31.7"
"33","Kyle Pitts","ATL","14","TE3","36","32","","31","33.0"
"34","Patrick Mahomes II","KC","8","QB2","33","39","","32","34.7"
"35","Michael Pittman Jr.","IND","14","WR13","30","40","","37","35.7"
"36","David Montgomery","CHI","14","RB18","38","34","","36","36.0"
"37","Justin Herbert","LAC","8","QB3","34","41","","35","36.7"
"38","Breece Hall","NYJ","10","RB19","39","37","","38","38.0"
"39","DJ Moore","CAR","13","WR14","37","43","","42","40.7"
"40","Jaylen Waddle","MIA","11","WR15","45","33","","45","41.0"
"41","Diontae Johnson","PIT","9","WR16","48","36","","43","42.3"
"42","George Kittle","SF","9","TE4","43","46","","39","42.7"
"43","Terry McLaurin","WAS","14","WR17","42","45","","41","42.7"
"44","Travis Etienne Jr.","JAC","11","RB20","47","42","","40","43.0"
"45","Josh Jacobs","LV","6","RB21","51","38","","48","45.7"
"46","Mike Williams","LAC","8","WR18","44","47","","47","46.0"
"47","Darren Waller","LV","6","TE5","46","49","","44","46.3"
"48","Lamar Jackson","BAL","10","QB4","41","50","","49","46.7"
"49","Elijah Mitchell","SF","9","RB22","40","48","","54","47.3"
"50","DK Metcalf","SEA","11","WR19","56","44","","46","48.7"
"51","Courtland Sutton","DEN","9","WR20","49","59","","50","52.7"
"52","AJ Dillon","GB","14","RB23","58","53","","59","56.7"
"53","Joe Burrow","CIN","10","QB5","52","64","","57","57.7"
"54","Kyler Murray","ARI","13","QB6","57","63","","55","58.3"
"55","Allen Robinson II","LAR","7","WR21","53","67","","56","58.7"
"56","Jerry Jeudy","DEN","9","WR22","61","62","","53","58.7"
"57","Marquise Brown","ARI","13","WR23","73","52","","58","61.0"
"58","Brandin Cooks","HOU","6","WR24","67","54","","62","61.0"
"59","Antonio Gibson","WAS","14","RB24","50","83","","51","61.3"
"60","Dalton Schultz","DAL","9","TE6","55","68","","61","61.3"
"61","J.K. Dobbins","BAL","10","RB25","54","80","","52","62.0"
"62","Amon-Ra St. Brown","DET","6","WR25","71","51","","67","63.0"
"63","Damien Harris","NE","10","RB26","65","56","","71","64.0"
"64","Jalen Hurts","PHI","7","QB7","59","71","","65","65.0"
"65","Clyde Edwards-Helaire","KC","8","RB27","70","65","","63","66.0"
"66","Amari Cooper","CLE","9","WR26","81","58","","60","66.3"
"67","Gabriel Davis","BUF","7","WR27","68","60","","74","67.3"
"68","T.J. Hockenson","DET","6","TE7","64","72","","68","68.0"
"69","Michael Thomas","NO","14","WR28","72","70","","66","69.3"
"70","JuJu Smith-Schuster","KC","8","WR29","62","76","","72","70.0"
"71","Chris Godwin","TB","11","WR30","94","55","","64","71.0"
"72","Miles Sanders","PHI","7","RB28","74","77","","70","73.7"
"73","Darnell Mooney","CHI","14","WR31","92","57","","73","74.0"
"74","Adam Thielen","MIN","7","WR32","80","75","","69","74.7"
"75","Dallas Goedert","PHI","7","TE8","63","85","","78","75.3"
"76","Russell Wilson","DEN","9","QB8","69","81","","77","75.7"
"77","Devin Singletary","BUF","7","RB29","76","73","","86","78.3"
"78","Dak Prescott","DAL","9","QB9","78","74","","84","78.7"
"79","Tom Brady","TB","11","QB10","60","93","","85","79.3"
"80","Rashod Bateman","BAL","10","WR33","82","87","","75","81.3"
"81","Cordarrelle Patterson","ATL","14","RB30","96","69","","82","82.3"
"82","Elijah Moore","NYJ","10","WR34","100","61","","87","82.7"
"83","Hunter Renfrow","LV","6","WR35","97","66","","91","84.7"
"84","Kareem Hunt","CLE","9","RB31","95","84","","76","85.0"
"85","Rashaad Penny","SEA","11","RB32","84","82","","90","85.3"
"86","Tony Pollard","DAL","9","RB33","93","86","","83","87.3"
"87","Chase Edmonds","MIA","11","RB34","85","88","","89","87.3"
"88","DeVonta Smith","PHI","7","WR36","108","78","","88","91.3"
"89","Dawson Knox","BUF","7","TE9","75","108","","92","91.7"
"90","Ken Walker III","SEA","11","RB35","106","90","","79","91.7"
"91","Zach Ertz","ARI","13","TE10","88","95","","95","92.7"
"92","Aaron Rodgers","GB","14","QB11","87","97","","96","93.3"
"93","Rhamondre Stevenson","NE","10","RB36","89","94","","102","95.0"
"94","Matthew Stafford","LAR","7","QB12","90","91","","104","95.0"
"95","DeAndre Hopkins","ARI","13","WR37","101","106","","80","95.7"
"96","Brandon Aiyuk","SF","9","WR38","103","92","","93","96.0"
"97","Tyler Lockett","SEA","11","WR39","112","79","","101","97.3"
"98","Melvin Gordon III","DEN","9","RB37","99","101","","100","100.0"
"99","Drake London","ATL","14","WR40","124","98","","81","101.0"
"100","Trey Lance","SF","9","QB13","102","103","","103","102.7"
"101","Buffalo Bills","DST","7","DST1","66","127","","126","106.3"
"102","Allen Lazard","GB","14","WR41","107","119","","97","107.7"
"103","Christian Kirk","JAC","11","WR42","115","102","","107","108.0"
"104","James Cook","BUF","7","RB38","113","123","","99","111.7"
"105","Robert Woods","TEN","6","WR43","132","100","","105","112.3"
"106","Justin Tucker","BAL","10","K1","77","134","","128","113.0"
"107","Derek Carr","LV","6","QB14","111","114","","117","114.0"
"108","Michael Carter","NYJ","10","RB39","137","96","","113","115.3"
"109","Chris Olave","NO","14","WR44","139","109","","98","115.3"
"110","Tampa Bay Buccaneers","DST","11","DST2","79","147","","129","118.3"
"111","Dameon Pierce","HOU","6","RB40","110","139","","106","118.3"
"112","Chase Claypool","PIT","9","WR45","142","105","","109","118.7"
"113","Mike Gesicki","MIA","11","TE11","126","118","","115","119.7"
"114","Brian Robinson Jr.","WAS","14","RB41","127","89","","145","120.3"
"115","James Robinson","JAC","11","RB42","130","117","","114","120.3"
"116","Kadarius Toney","NYG","9","WR46","141","110","","112","121.0"
"117","Alexander Mattison","MIN","7","RB43","135","112","","116","121.0"
"118","Kirk Cousins","MIN","7","QB15","118","107","","140","121.7"
"119","Darrell Henderson Jr.","LAR","7","RB44","129","115","","124","122.7"
"120","Pat Freiermuth","PIT","9","TE12","114","144","","111","123.0"
"121","Treylon Burks","TEN","6","WR47","183","99","","94","125.3"
"122","Russell Gage","TB","11","WR48","131","111","","142","128.0"
"123","Evan McPherson","CIN","10","K2","86","173","","127","128.7"
"124","Garrett Wilson","NYJ","10","WR49","165","113","","108","128.7"
"125","Dallas Cowboys","DST","9","DST3","138","121","","131","130.0"
"126","Ronald Jones II","KC","8","RB45","120","126","","153","133.0"
"127","Albert Okwuegbunam","DEN","9","TE13","123","153","","125","133.7"
"128","Daniel Carlson","LV","6","K3","105","161","","136","134.0"
"129","Cole Kmet","CHI","14","TE14","158","125","","119","134.0"
"130","Nyheim Hines","IND","14","RB46","148","132","","122","134.0"
"131","Isaiah Spiller","LAC","8","RB47","182","104","","120","135.3"
"132","Tyler Boyd","CIN","10","WR50","176","116","","123","138.3"
"133","Harrison Butker","KC","8","K4","116","170","","134","140.0"
"134","San Francisco 49ers","DST","9","DST4","83","207","","132","140.7"
"135","George Pickens","PIT","9","WR51","128","179","","121","142.7"
"136","Los Angeles Rams","DST","7","DST5","91","209","","130","143.3"
"137","Marquez Valdes-Scantling","KC","8","WR52","174","143","","118","145.0"
"138","New Orleans Saints","DST","14","DST6","122","151","","162","145.0"
"139","Tua Tagovailoa","MIA","11","QB16","160","124","","152","145.3"
"140","Skyy Moore","KC","8","WR53","185","150","","110","148.3"
"141","Matt Gay","LAR","7","K5","109","203","","135","149.0"
"142","Indianapolis Colts","DST","14","DST7","104","180","","164","149.3"
"143","Jarvis Landry","NO","14","WR54","161","138","","149","149.3"
"144","Rachaad White","TB","11","RB48","175","130","","144","149.7"
"145","Kenny Golladay","NYG","9","WR55","168","129","","158","151.7"
"146","Tyler Bass","BUF","7","K6","98","220","","138","152.0"
"147","Justin Fields","CHI","14","QB17","167","122","","168","152.3"
"148","Kenneth Gainwell","PHI","7","RB49","187","128","","147","154.0"
"149","Julio Jones","TB","11","WR56","134","189","","141","154.7"
"150","Rondale Moore","ARI","13","WR57","196","120","","151","155.7"
"151","Denver Broncos","DST","9","DST8","117","192","","161","156.7"
"152","Isiah Pacheco","KC","8","RB50","163","148","","159","156.7"
"153","DeVante Parker","NE","10","WR58","180","145","","154","159.7"
"154","Marlon Mack","HOU","6","RB51","125","199","","157","160.3"
"155","Raheem Mostert","MIA","11","RB52","149","158","","177","161.3"
"156","Jakobi Meyers","NE","10","WR59","188","131","","169","162.7"
"157","Mecole Hardman","KC","8","WR60","152","154","","182","162.7"
"158","DJ Chark Jr.","DET","6","WR61","178","140","","173","163.7"
"159","Khalil Herbert","CHI","14","RB53","194","141","","156","163.7"
"160","Tyler Allgeier","ATL","14","RB54","181","163","","148","164.0"
"161","Jahan Dotson","WAS","14","WR62","179","159","","155","164.3"
"162","New England Patriots","DST","10","DST9","214","142","","139","165.0"
"163","Christian Watson","GB","14","WR63","186","166","","143","165.0"
"164","J.D. McKissic","WAS","14","RB55","192","136","","176","168.0"
"165","Jalen Tolbert","DAL","9","WR64","170","162","","175","169.0"
"166","Mac Jones","NE","10","QB18","144","169","","195","169.3"
"167","Trevor Lawrence","JAC","11","QB19","203","135","","171","169.7"
"168","Jamaal Williams","DET","6","RB56","191","149","","170","170.0"
"169","Ryan Tannehill","TEN","6","QB20","155","137","","219","170.3"
"170","David Njoku","CLE","9","TE15","189","152","","174","171.7"
"171","Irv Smith Jr.","MIN","7","TE16","213","133","","172","172.7"
"172","Baltimore Ravens","DST","10","DST10","172","214","","133","173.0"
"173","Jameson Williams","DET","6","WR65","209","146","","167","174.0"
"174","Romeo Doubs","GB","14","WR66","193","164","","166","174.3"
"175","Mark Ingram II","NO","14","RB57","156","195","","180","177.0"
"176","Michael Gallup","DAL","9","WR67","210","183","","146","179.7"
"177","Matt Ryan","IND","14","QB21","195","167","","181","181.0"
"178","Sammy Watkins","GB","14","WR68","173","175","","197","181.7"
"179","Sony Michel","MIA","11","RB58","154","172","","225","183.7"
"180","Deshaun Watson","CLE","9","QB22","157","210","","184","183.7"
"181","Darrel Williams","ARI","13","RB59","177","171","","206","184.7"
"182","Hunter Henry","NE","10","TE17","159","248","","150","185.7"
"183","Jameis Winston","NO","14","QB23","184","187","","191","187.3"
"184","Baker Mayfield","CAR","13","QB24","136","213","","216","188.3"
"185","Isaiah McKenzie","BUF","7","WR69","197","186","","190","191.0"
"186","Gus Edwards","BAL","10","RB60","216","160","","203","193.0"
"187","D'Onta Foreman","CAR","13","RB61","201","176","","204","193.7"
"188","Robert Tonyan","GB","14","TE18","204","181","","199","194.7"
"189","Cameron Brate","TB","11","TE19","146","215","","224","195.0"
"190","Evan Engram","JAC","11","TE20","200","165","","220","195.0"
"191","Rodrigo Blankenship","IND","14","K7","217","206","","165","196.0"
"192","Green Bay Packers","DST","14","DST11","119","285","","188","197.3"
"193","Matt Prater","ARI","13","K8","208","224","","160","197.3"
"194","Zamir White","LV","6","RB62","198","211","","183","197.3"
"195","Noah Fant","SEA","11","TE21","202","198","","192","197.3"
"196","Younghoe Koo","ATL","14","K9","147","374","","163","228.0"
"197","Carson Wentz","WAS","14","QB25","140","217","","237","198.0"
"198","Taysom Hill","NO","14","TE22","145","221","","230","198.7"
"199","Gerald Everett","LAC","8","TE23","218","184","","201","201.0"
"200","Los Angeles Chargers","DST","8","DST12","","185","","137","161.0"
"201","Miami Dolphins","DST","11","DST13","228","155","","243","208.7"
"202","Wil Lutz","NO","14","K10","199","219","","210","209.3"
"203","Las Vegas Raiders","DST","6","DST14","151","197","","","174.0"
"204","Nick Folk","NE","10","K11","164","315","","187","222.0"
"205","Jared Goff","DET","6","QB26","169","235","","236","213.3"
"206","Pittsburgh Steelers","DST","9","DST15","215","236","","189","213.3"
