"Rank","Player","Team","Bye","POS","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"1","Jonathan Taylor","IND","14","RB1","","1","1","","1","1.0"
"2","Christian McCaffrey","CAR","13","RB2","","4","2","","2","2.7"
"3","Austin Ekeler","LAC","8","RB3","","2","3","","4","3.0"
"4","Derrick Henry","TEN","6","RB4","","3","7","","3","4.3"
"5","Cooper Kupp","LAR","7","WR1","","5","6","","5","5.3"
"6","Justin Jefferson","MIN","7","WR2","","6","4","","7","5.7"
"7","Najee Harris","PIT","9","RB5","","7","5","","8","6.7"
"8","Dalvin Cook","MIN","7","RB6","","8","8","","6","7.3"
"9","Ja'Marr Chase","CIN","10","WR3","","9","9","","9","9.0"
"10","Joe Mixon","CIN","10","RB7","","10","11","","10","10.3"
"11","D'Andre Swift","DET","6","RB8","","13","10","","13","12.0"
"12","Davante Adams","LV","6","WR4","","11","14","","11","12.0"
"13","Stefon Diggs","BUF","7","WR5","","17","12","","14","14.3"
"14","Travis Kelce","KC","8","TE1","","16","16","","12","14.7"
"15","Alvin Kamara","NO","14","RB9","","18","13","","17","16.0"
"16","Nick Chubb","CLE","9","RB10","","15","19","","16","16.7"
"17","Javonte Williams","DEN","9","RB11","","12","17","","23","17.3"
"18","Saquon Barkley","NYG","9","RB12","","19","15","","18","17.3"
"19","Deebo Samuel","SF","9","WR6","","14","18","","24","18.7"
"20","CeeDee Lamb","DAL","9","WR7","","21","20","","15","18.7"
"21","Tyreek Hill","MIA","11","WR8","","20","23","","20","21.0"
"22","Aaron Jones","GB","14","RB13","","23","24","","19","22.0"
"23","Josh Allen","BUF","7","QB1","","26","22","","21","23.0"
"24","Mark Andrews","BAL","10","TE2","","22","25","","22","23.0"
"25","Leonard Fournette","TB","11","RB14","","24","21","","25","23.3"
"26","Mike Evans","TB","11","WR9","","29","28","","26","27.7"
"27","A.J. Brown","PHI","7","WR10","","27","30","","27","28.0"
"28","Ezekiel Elliott","DAL","9","RB15","","32","26","","28","28.7"
"29","James Conner","ARI","13","RB16","","33","27","","29","29.7"
"30","Keenan Allen","LAC","8","WR11","","28","33","","30","30.3"
"31","Cam Akers","LAR","7","RB17","","25","35","","34","31.3"
"32","Kyle Pitts","ATL","14","TE3","","31","32","","31","31.3"
"33","Tee Higgins","CIN","10","WR12","","30","37","","33","33.3"
"34","Patrick Mahomes II","KC","8","QB2","","37","31","","32","33.3"
"35","David Montgomery","CHI","14","RB18","","34","39","","35","36.0"
"36","Michael Pittman Jr.","IND","14","WR13","","42","29","","39","36.7"
"37","Justin Herbert","LAC","8","QB3","","40","36","","36","37.3"
"38","Breece Hall","NYJ","10","RB19","","39","41","","37","39.0"
"39","Travis Etienne Jr.","JAC","11","RB20","","46","34","","40","40.0"
"40","Diontae Johnson","PIT","9","WR14","","38","46","","42","42.0"
"41","George Kittle","SF","9","TE4","","44","45","","38","42.3"
"42","DJ Moore","CAR","13","WR15","","45","40","","44","43.0"
"43","Jaylen Waddle","MIA","11","WR16","","35","53","","45","44.3"
"44","Terry McLaurin","WAS","14","WR17","","43","49","","41","44.3"
"45","Josh Jacobs","LV","6","RB21","","36","50","","48","44.7"
"46","Mike Williams","LAC","8","WR18","","48","43","","50","47.0"
"47","Darren Waller","LV","6","TE5","","49","51","","43","47.7"
"48","DK Metcalf","SEA","11","WR19","","41","56","","47","48.0"
"49","Lamar Jackson","BAL","10","QB4","","50","48","","49","49.0"
"50","Elijah Mitchell","SF","9","RB22","","47","47","","54","49.3"
"51","Courtland Sutton","DEN","9","WR20","","65","42","","52","53.0"
"52","AJ Dillon","GB","14","RB23","","54","44","","63","53.7"
"53","J.K. Dobbins","BAL","10","RB24","","80","38","","51","56.3"
"54","Amon-Ra St. Brown","DET","6","WR21","","51","52","","67","56.7"
"55","Brandin Cooks","HOU","6","WR22","","57","55","","62","58.0"
"56","Chris Godwin","TB","11","WR23","","52","65","","60","59.0"
"57","Kyler Murray","ARI","13","QB5","","61","60","","56","59.0"
"58","Joe Burrow","CIN","10","QB6","","62","62","","55","59.7"
"59","Marquise Brown","ARI","13","WR24","","56","64","","59","59.7"
"60","Darnell Mooney","CHI","14","WR25","","55","57","","71","61.0"
"61","Jalen Hurts","PHI","7","QB7","","69","54","","66","63.0"
"62","Allen Robinson II","LAR","7","WR26","","74","58","","57","63.0"
"63","Dalton Schultz","DAL","9","TE6","","71","61","","61","64.3"
"64","Michael Thomas","NO","14","WR27","","60","69","","69","66.0"
"65","Amari Cooper","CLE","9","WR28","","58","83","","58","66.3"
"66","Antonio Gibson","WAS","14","RB25","","86","68","","46","66.7"
"67","Jerry Jeudy","DEN","9","WR29","","70","79","","53","67.3"
"68","Gabriel Davis","BUF","7","WR30","","64","63","","76","67.7"
"69","Clyde Edwards-Helaire","KC","8","RB26","","73","75","","64","70.7"
"70","T.J. Hockenson","DET","6","TE7","","72","77","","65","71.3"
"71","Damien Harris","NE","10","RB27","","53","92","","70","71.7"
"72","Adam Thielen","MIN","7","WR31","","79","70","","72","73.7"
"73","Devin Singletary","BUF","7","RB28","","63","72","","87","74.0"
"74","Dak Prescott","DAL","9","QB8","","67","76","","82","75.0"
"75","JuJu Smith-Schuster","KC","8","WR32","","81","74","","73","76.0"
"76","Cordarrelle Patterson","ATL","14","RB29","","68","81","","83","77.3"
"77","Miles Sanders","PHI","7","RB30","","85","82","","68","78.3"
"78","Elijah Moore","NYJ","10","WR33","","59","89","","89","79.0"
