,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
1,Jonathan Taylor,IND,RB,325.4,"1,600.3",14.8,42.5,354.3,2.0,2.3,0.0,0.0,0,0.0,0.0
2,Derrick Henry,TEN,RB,366.2,"1,640.2",13.0,27.4,216.0,0.9,2.0,0.0,0.0,0,0.0,0.0
3,Austin Ekeler,LAC,RB,221.1,984.0,9.4,74.5,665.0,5.3,1.5,0.0,0.0,0,0.0,0.0
4,Christian McCaffrey,CAR,RB,237.4,"1,057.4",7.6,88.9,757.9,4.1,1.4,0.0,0.0,0,0.0,0.0
5,Joe Mixon,CIN,RB,287.4,"1,204.2",9.8,47.1,341.9,2.6,1.6,0.0,0.0,0,0.0,0.0
6,Dalvin Cook,MIN,RB,276.2,"1,241.8",9.8,44.9,334.1,1.5,2.5,0.0,0.0,0,0.0,0.0
7,Alvin Kamara,NO,RB,219.5,964.2,8.0,60.0,529.2,4.1,1.2,0.0,0.0,0,0.0,0.0
8,Najee Harris,PIT,RB,298.3,"1,183.1",7.7,60.7,397.3,2.1,1.6,0.0,0.0,0,0.0,0.0
9,Leonard Fournette,TB,RB,230.6,961.0,9.1,61.1,417.0,2.1,1.3,0.0,0.0,0,0.0,0.0
10,James Conner,ARI,RB,226.4,927.1,10.3,44.1,358.5,2.3,1.6,0.0,0.0,0,0.0,0.0
11,Nick Chubb,CLE,RB,247.6,"1,230.0",8.4,25.3,206.2,1.0,1.6,0.0,0.0,0,0.0,0.0
12,Aaron Jones,GB,RB,193.7,913.2,6.1,60.2,493.0,3.8,1.5,0.0,0.0,0,0.0,0.0
13,Javonte Williams,DEN,RB,232.4,"1,025.2",7.8,45.9,345.8,2.7,1.7,0.0,0.0,0,0.0,0.0
14,Saquon Barkley,NYG,RB,244.9,"1,027.2",6.6,57.4,424.0,2.2,1.5,0.0,0.0,0,0.0,0.0
15,D'Andre Swift,DET,RB,216.1,900.8,6.5,64.7,477.4,2.4,1.8,0.0,0.0,0,0.0,0.0
16,David Montgomery,CHI,RB,234.9,948.5,7.6,44.4,345.3,1.9,1.4,0.0,0.0,0,0.0,0.0
17,Ezekiel Elliott,DAL,RB,229.9,962.6,7.9,40.0,273.8,1.8,2.1,0.0,0.0,0,0.0,0.0
18,J.K. Dobbins,BAL,RB,197.4,965.3,8.4,33.1,241.6,1.4,1.0,0.0,0.0,0,0.0,0.0
19,Cam Akers,LAR,RB,230.7,"1,007.4",7.0,34.5,277.3,1.6,3.3,0.0,0.0,0,0.0,0.0
20,Breece Hall,NYJ,RB,212.5,965.4,6.6,38.6,308.7,1.6,1.8,0.0,0.0,0,0.0,0.0
21,Elijah Mitchell,SF,RB,239.0,"1,027.5",7.3,25.8,196.7,1.3,1.2,0.0,0.0,0,0.0,0.0
22,Damien Harris,NE,RB,212.8,968.7,10.0,18.2,136.0,0.5,1.4,0.0,0.0,0,0.0,0.0
23,Josh Jacobs,LV,RB,219.8,930.4,8.0,38.0,265.1,0.9,1.9,0.0,0.0,0,0.0,0.0
24,Travis Etienne Jr.,JAC,RB,177.8,809.5,5.6,48.8,397.4,1.9,1.7,0.0,0.0,0,0.0,0.0
25,Miles Sanders,PHI,RB,201.9,"1,033.5",5.6,30.7,216.6,1.1,1.6,0.0,0.0,0,0.0,0.0
26,Clyde Edwards-Helaire,KC,RB,184.3,811.0,5.7,36.3,270.3,2.1,1.3,0.0,0.0,0,0.0,0.0
27,Rashaad Penny,SEA,RB,189.5,958.3,6.7,19.2,143.9,0.5,1.2,0.0,0.0,0,0.0,0.0
28,Devin Singletary,BUF,RB,183.6,847.7,6.0,33.1,222.3,1.3,1.3,0.0,0.0,0,0.0,0.0
29,AJ Dillon,GB,RB,179.7,767.5,6.1,33.2,276.5,1.5,1.2,0.0,0.0,0,0.0,0.0
30,Tony Pollard,DAL,RB,158.4,752.7,3.8,47.3,386.2,2.0,1.3,0.0,0.0,0,0.0,0.0
31,Cordarrelle Patterson,ATL,RB,138.2,604.6,4.5,43.4,397.4,2.8,0.9,0.0,0.0,0,0.0,0.0
32,Antonio Gibson,WAS,RB,190.5,786.5,6.0,31.1,229.3,1.3,1.8,0.0,0.0,0,0.0,0.0
33,Rhamondre Stevenson,NE,RB,172.0,722.7,6.4,30.9,239.5,1.1,1.0,0.0,0.0,0,0.0,0.0
34,Melvin Gordon III,DEN,RB,153.4,696.9,6.2,24.0,181.7,1.3,1.9,0.0,0.0,0,0.0,0.0
35,Chase Edmonds,MIA,RB,151.2,657.2,3.6,46.1,329.2,1.6,0.9,0.0,0.0,0,0.0,0.0
36,Kareem Hunt,CLE,RB,134.0,574.4,4.7,42.2,324.7,1.8,0.8,0.0,0.0,0,0.0,0.0
37,Dameon Pierce,HOU,RB,183.0,676.3,4.7,26.4,206.3,0.9,1.4,0.0,0.0,0,0.0,0.0
38,Brian Robinson Jr.,WAS,RB,154.0,659.2,5.1,19.7,148.1,0.6,1.2,0.0,0.0,0,0.0,0.0
39,James Robinson,JAC,RB,144.5,583.4,4.9,23.0,169.6,0.7,1.2,0.0,0.0,0,0.0,0.0
40,Michael Carter,NYJ,RB,134.4,553.2,3.2,32.0,268.4,1.1,0.8,0.0,0.0,0,0.0,0.0
41,Darrell Henderson Jr.,LAR,RB,131.6,539.2,4.1,23.7,184.7,1.4,0.7,0.0,0.0,0,0.0,0.0
42,Ken Walker III,SEA,RB,159.3,620.3,4.3,17.3,129.0,0.5,1.4,0.0,0.0,0,0.0,0.0
43,James Cook,BUF,RB,110.2,474.4,3.6,29.2,235.0,1.6,1.0,0.0,0.0,0,0.0,0.0
44,Jamaal Williams,DET,RB,137.7,552.6,3.4,22.8,149.2,0.8,0.8,0.0,0.0,0,0.0,0.0
45,Raheem Mostert,MIA,RB,114.2,565.2,3.8,15.0,120.1,0.8,1.3,0.0,0.0,0,0.0,0.0
46,Kenneth Gainwell,PHI,RB,91.9,382.3,4.0,30.8,246.1,1.3,1.1,0.0,0.0,0,0.0,0.0
47,Alexander Mattison,MIN,RB,115.5,464.9,2.9,25.4,189.3,1.0,0.9,0.0,0.0,0,0.0,0.0
48,Mark Ingram II,NO,RB,123.6,488.1,3.4,19.6,147.8,0.7,1.0,0.0,0.0,0,0.0,0.0
49,Marlon Mack,HOU,RB,108.7,519.4,3.4,13.4,100.2,0.4,0.9,0.0,0.0,0,0.0,0.0
50,Tyler Allgeier,ATL,RB,136.4,500.3,2.9,17.0,132.3,0.6,1.2,0.0,0.0,0,0.0,0.0
51,Nyheim Hines,IND,RB,69.7,276.4,1.8,44.1,345.8,1.8,1.6,0.0,0.0,0,0.0,0.0
52,Isaiah Spiller,LAC,RB,91.6,388.2,2.9,22.7,183.5,1.3,1.2,0.0,0.0,0,0.0,0.0
53,Rachaad White,TB,RB,93.6,374.3,3.4,21.2,168.3,1.1,1.0,0.0,0.0,0,0.0,0.0
54,Gus Edwards,BAL,RB,115.3,501.7,3.5,8.9,74.9,0.2,0.7,0.0,0.0,0,0.0,0.0
55,Rex Burkhead,HOU,RB,74.0,316.3,2.4,29.6,239.4,1.2,0.5,0.0,0.0,0,0.0,0.0
56,J.D. McKissic,WAS,RB,51.8,215.9,1.4,44.8,348.7,1.9,0.5,0.0,0.0,0,0.0,0.0
57,Zamir White,LV,RB,92.5,393.6,3.5,13.4,110.6,0.5,1.2,0.0,0.0,0,0.0,0.0
58,Khalil Herbert,CHI,RB,114.2,423.2,2.7,16.0,120.5,0.5,0.9,0.0,0.0,0,0.0,0.0
59,Darrel Williams,ARI,RB,76.2,294.4,2.7,20.5,172.1,0.8,0.8,0.0,0.0,0,0.0,0.0
60,D'Onta Foreman,CAR,RB,85.8,404.7,2.6,7.7,70.4,0.2,0.9,0.0,0.0,0,0.0,0.0
61,Jerick McKinnon,KC,RB,48.2,224.0,1.6,27.9,228.8,1.4,0.5,0.0,0.0,0,0.0,0.0
62,Damien Williams,ATL,RB,77.6,280.8,2.0,20.1,146.0,0.8,0.8,0.0,0.0,0,0.0,0.0
63,Sony Michel,MIA,RB,95.6,363.1,2.4,8.7,57.0,0.1,0.5,0.0,0.0,0,0.0,0.0
64,Isiah Pacheco,KC,RB,69.3,284.4,2.5,13.9,104.9,0.5,0.9,0.0,0.0,0,0.0,0.0
65,Boston Scott,PHI,RB,67.5,293.8,3.0,8.7,65.3,0.2,0.3,0.0,0.0,0,0.0,0.0
66,Dontrell Hilliard,TEN,RB,47.2,237.6,1.5,25.9,183.1,0.6,1.0,0.0,0.0,0,0.0,0.0
67,Matt Breida,NYG,RB,72.4,301.4,1.5,13.0,101.2,0.7,1.5,0.0,0.0,0,0.0,0.0
68,Ameer Abdullah,LV,RB,36.2,166.3,0.8,30.9,235.4,1.0,0.4,0.0,0.0,0,0.0,0.0
69,Ronald Jones II,KC,RB,56.4,282.8,2.5,9.2,61.5,0.2,0.6,0.0,0.0,0,0.0,0.0
70,Samaje Perine,CIN,RB,65.8,253.3,1.3,18.2,128.2,0.6,0.5,0.0,0.0,0,0.0,0.0
71,Hassan Haskins,TEN,RB,66.6,270.4,1.8,8.4,65.3,0.4,0.8,0.0,0.0,0,0.0,0.0
72,Tyrion Davis-Price,SF,RB,51.1,212.7,1.8,10.3,89.8,0.3,0.8,0.0,0.0,0,0.0,0.0
73,Chuba Hubbard,CAR,RB,52.5,205.1,1.5,13.1,90.8,0.5,0.5,0.0,0.0,0,0.0,0.0
74,Mike Davis,BAL,RB,41.8,221.5,1.6,11.9,78.9,0.2,0.7,0.0,0.0,0,0.0,0.0
75,Eno Benjamin,ARI,RB,47.7,205.6,1.5,8.1,67.7,0.2,0.2,0.0,0.0,0,0.0,0.0
76,Ke'Shawn Vaughn,TB,RB,47.1,198.6,1.9,6.8,46.7,0.1,0.6,0.0,0.0,0,0.0,0.0
77,D'Ernest Johnson,CLE,RB,32.3,191.7,1.3,8.9,71.1,0.2,0.1,0.0,0.0,0,0.0,0.0
78,Jeff Wilson Jr.,SF,RB,46.4,168.5,1.5,10.1,74.2,0.6,0.6,0.0,0.0,0,0.0,0.0
79,Kyle Juszczyk,SF,RB,12.2,38.8,0.6,24.4,200.3,1.2,0.1,0.0,0.0,0,0.0,0.0
80,Phillip Lindsay,IND,RB,45.0,226.9,1.5,3.9,29.2,0.1,0.1,0.0,0.0,0,0.0,0.0
81,Tyler Goodson,GB,RB,0.0,170.3,1.6,7.8,63.8,0.4,0.2,0.0,0.0,0,0.0,0.0
82,Joshua Kelley,LAC,RB,45.3,208.0,1.2,8.0,58.7,0.2,0.9,0.0,0.0,0,0.0,0.0
83,Craig Reynolds,DET,RB,36.6,180.4,0.8,10.4,78.9,0.4,0.4,0.0,0.0,0,0.0,0.0
84,Brandon Bolden,LV,RB,24.8,105.3,0.7,16.7,153.4,0.5,0.4,0.0,0.0,0,0.0,0.0
85,Justin Jackson,DET,RB,25.1,150.5,1.1,9.5,74.7,0.4,0.2,0.0,0.0,0,0.0,0.0
86,Chris Evans,CIN,RB,27.4,100.3,0.6,15.6,112.8,0.8,0.1,0.0,0.0,0,0.0,0.0
87,Tevin Coleman,NYJ,RB,24.9,171.4,0.9,8.1,54.7,0.1,0.3,0.0,0.0,0,0.0,0.0
88,Travis Homer,SEA,RB,17.2,94.2,0.6,11.6,93.1,0.5,0.1,0.0,0.0,0,0.0,0.0
89,J.J. Taylor,NE,RB,22.4,121.9,1.4,4.3,29.3,0.2,0.1,0.0,0.0,0,0.0,0.0
90,Zack Moss,BUF,RB,30.2,136.7,1.0,4.7,34.5,0.2,0.1,0.0,0.0,0,0.0,0.0
91,Duke Johnson Jr.,BUF,RB,27.0,123.0,0.9,6.9,61.1,0.2,0.5,0.0,0.0,0,0.0,0.0
92,Benny Snell Jr.,PIT,RB,37.6,149.0,0.9,4.4,30.3,0.1,0.2,0.0,0.0,0,0.0,0.0
93,Jermar Jefferson,DET,RB,26.9,114.0,1.3,4.8,32.5,0.0,0.0,0.0,0.0,0,0.0,0.0
94,Ryquell Armstead,JAC,RB,5.9,105.9,0.6,6.3,66.5,0.2,0.1,0.0,0.0,0,0.0,0.0
95,Ty Montgomery,NE,RB,17.6,71.2,0.3,15.2,118.7,0.3,0.2,0.0,0.0,0,0.0,0.0
96,Pierre Strong Jr.,NE,RB,20.4,115.8,1.0,5.1,39.2,0.1,0.1,0.0,0.0,0,0.0,0.0
97,Dare Ogunbowale,HOU,RB,10.2,89.4,0.5,10.2,80.9,0.3,0.1,0.0,0.0,0,0.0,0.0
98,Myles Gaskin,MIA,RB,20.6,111.2,0.6,8.8,55.3,0.1,0.3,0.0,0.0,0,0.0,0.0
99,Jaylen Warren,PIT,RB,26.8,122.2,0.9,3.9,25.0,0.1,0.2,0.0,0.0,0,0.0,0.0
100,Anthony McFarland Jr.,PIT,RB,18.4,102.3,0.6,5.1,37.4,0.4,0.1,0.0,0.0,0,0.0,0.0
101,Qadree Ollison,ATL,RB,12.6,101.5,0.8,5.5,36.7,0.2,0.3,0.0,0.0,0,0.0,0.0
102,DeeJay Dallas,SEA,RB,15.9,81.8,0.6,9.0,61.2,0.2,0.1,0.0,0.0,0,0.0,0.0
103,Trey Sermon,SF,RB,20.5,84.3,0.9,6.0,40.8,0.1,0.1,0.0,0.0,0,0.0,0.0
104,Tony Jones Jr.,NO,RB,28.3,113.7,0.5,5.3,37.1,0.1,0.0,0.0,0.0,0,0.0,0.0
105,Gary Brightwell,NYG,RB,22.7,87.1,0.7,5.9,45.0,0.1,0.1,0.0,0.0,0,0.0,0.0
106,Giovani Bernard,TB,RB,16.1,66.5,0.4,7.8,56.0,0.5,0.1,0.0,0.0,0,0.0,0.0
107,Trestan Ebner,CHI,RB,7.8,69.3,0.5,6.6,50.9,0.2,0.1,0.0,0.0,0,0.0,0.0
108,Tory Carter,TEN,RB,9.5,44.5,0.5,6.9,49.7,0.6,0.0,0.0,0.0,0,0.0,0.0
109,Jaret Patterson,WAS,RB,6.0,88.1,0.6,4.3,26.5,0.2,0.1,0.0,0.0,0,0.0,0.0
110,Keaontay Ingram,ARI,RB,25.1,102.8,0.5,3.1,25.6,0.0,0.0,0.0,0.0,0,0.0,0.0
111,Kene Nwangwu,MIN,RB,21.5,84.3,0.6,3.9,24.8,0.1,0.1,0.0,0.0,0,0.0,0.0
112,Tyler Badie,BAL,RB,21.1,100.9,0.5,2.6,19.9,0.0,0.0,0.0,0.0,0,0.0,0.0
113,Kyren Williams,LAR,RB,15.7,66.9,0.9,3.7,28.4,0.0,0.1,0.0,0.0,0,0.0,0.0
114,JaMycal Hasty,SF,RB,15.0,48.4,0.6,8.0,57.7,0.1,0.0,0.0,0.0,0,0.0,0.0
115,Demetric Felton Jr.,CLE,RB,3.6,25.0,0.1,9.4,86.0,0.6,0.4,0.0,0.0,0,0.0,0.0
116,Darwin Thompson,SEA,RB,0.0,75.6,0.6,3.8,28.8,0.2,0.1,0.0,0.0,0,0.0,0.0
117,Mike Boone,DEN,RB,14.0,75.0,0.7,3.5,25.4,0.1,0.0,0.0,0.0,0,0.0,0.0
118,Darrynton Evans,CHI,RB,18.5,80.0,0.5,3.8,27.9,0.1,0.1,0.0,0.0,0,0.0,0.0
119,Snoop Conner,JAC,RB,20.2,82.2,0.4,4.6,32.8,0.1,0.1,0.0,0.0,0,0.0,0.0
