"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","607.5","390.2","4,406.1","34.6","13.9","116.9","662.3","6.9","3.5","401.4"
"Patrick Mahomes II","KC","634.6","418.1","4,845.1","35.9","11.6","66.5","360.0","2.8","2.8","372.9"
"Justin Herbert","LAC","625.6","415.7","4,684.2","33.9","13.3","65.1","299.7","3.2","1.4","355.9"
"Lamar Jackson","BAL","520.2","336.5","3,731.3","24.5","13.2","158.6","956.7","4.9","3.5","352.4"
"Kyler Murray","ARI","571.7","384.8","4,264.0","27.3","12.3","107.3","552.4","5.5","2.3","351.1"
"Jalen Hurts","PHI","495.1","307.3","3,645.1","24.4","12.6","144.7","772.8","7.9","2.9","349.7"
"Tom Brady","TB","652.9","433.9","4,846.0","36.3","11.9","27.9","45.9","1.7","2.4","336.8"
"Dak Prescott","DAL","593.8","399.5","4,558.9","32.7","11.7","55.3","228.9","2.9","4.1","333.2"
"Joe Burrow","CIN","570.0","386.5","4,574.1","31.3","12.8","46.6","187.4","2.2","1.8","323.7"
"Aaron Rodgers","GB","559.6","377.5","4,331.7","32.6","7.1","38.7","136.2","1.8","1.6","318.0"
"Matthew Stafford","LAR","587.0","392.3","4,588.5","33.6","14.1","33.3","99.3","1.2","2.4","315.9"
"Trey Lance","SF","469.0","295.0","3,563.5","23.8","12.7","125.9","643.3","5.2","2.6","315.1"
"Russell Wilson","DEN","540.7","356.4","4,111.0","29.0","9.6","62.7","279.1","2.1","2.3","306.8"
"Kirk Cousins","MIN","574.1","379.2","4,347.9","31.2","11.4","29.2","107.1","1.1","2.9","298.7"
"Derek Carr","LV","597.1","399.6","4,498.7","28.9","12.9","38.7","131.1","1.2","3.6","295.8"
"Tua Tagovailoa","MIA","574.8","379.3","4,029.5","25.6","13.3","55.0","205.6","2.8","2.4","283.1"
"Ryan Tannehill","TEN","516.5","340.7","3,753.2","24.2","13.0","55.0","253.8","3.9","2.6","277.3"
"Trevor Lawrence","JAC","585.5","370.5","3,942.8","22.5","13.9","71.0","330.3","2.4","3.0","275.3"
"Justin Fields","CHI","504.9","311.9","3,467.6","18.6","14.5","107.3","593.5","3.7","5.0","270.0"
"Daniel Jones","NYG","537.7","337.0","3,616.1","20.6","12.5","81.4","424.7","2.7","4.7","263.7"
"Matt Ryan","IND","539.2","352.7","3,937.4","25.9","11.4","34.4","121.2","1.4","3.6","262.9"
"Mac Jones","NE","543.9","359.0","3,941.5","24.9","13.9","41.8","156.4","0.9","2.8","258.7"
"Jameis Winston","NO","486.5","305.0","3,503.5","24.7","12.6","53.8","273.8","1.7","2.8","258.4"
"Carson Wentz","WAS","538.1","343.1","3,694.0","22.4","11.6","57.4","240.1","1.8","3.9","253.1"
"Jared Goff","DET","565.6","371.4","3,905.7","24.5","12.5","31.7","80.2","1.0","3.7","248.1"
